@RELATION test
@ATTRIBUTE ﻿cevaplar {AZ,COKAZ,COKYUKSEK,ORTA,YUKSEK}
COKAZ,ORTA,AZ,MedyaFener,SON,EranZahavi,Fenerbahce,ORTA,FanSayfasi,YUKSEK,BY
ORTA,ORTA,COKAZ,ASpor,BAS,KeremAkturkoglu,Galatasaray,DUSUK,SporKanali,YUKSEK,D
ORTA,ORTA,ORTA,AhmetKonanc,SON,TolgayArslan,Hamburg,DUSUK,Gazeteci,ORTA,BZY
ORTA,ORTA,COKAZ,ASpor,BAS,BrahimDarri,Fenerbahce,DUSUK,SporKanali,YUKSEK,BY
ORTA,ORTA,AZ,AhmetKonanc,ORTA,MertHakanYandas,Fenerbahce,ORTA,Gazeteci,ORTA,D
ORTA,ORTA,ORTA,Taraftar,SON,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BZY
YUKSEK,ORTA,COKAZ,TRTSpor,SON,EnzoRoco,Besiktas,DUSUK,SporKanali,COKYUKSEK,BY
ORTA,COKAZ,COKAZ,beINSPORTSTurkiye,SON,Rafael,Basaksehir,ORTA,SporKanali,COKYUKSEK,D
ORTA,COKAZ,ORTA,Taraftar,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Taraftar,AZ,BZY
COKAZ,COKAZ,AZ,HoloskoReyiz,BAS,Rafael,Besiktas,ORTA,FanSayfasi,AZ,BY
ORTA,ORTA,COKAZ,ASpor,BAS,DyshawnPierre,Fenerbahce,DUSUK,SporKanali,YUKSEK,D
ORTA,ORTA,COKAZ,FenerEditor,SON,EdinsonCavani,Fenerbahce,YUKSEK,FanSayfasi,ORTA,BZY
ORTA,YUKSEK,COKAZ,beINSPORTSTurkiye,SON,RadjaNainggolan,Galatasaray,YUKSEK,SporKanali,COKYUKSEK,BY
COKAZ,ORTA,COKAZ,ASpor,BAS,KostasSloukas,Olimpiyakos,DUSUK,SporKanali,YUKSEK,D
YUKSEK,ORTA,AZ,Taraftar,SON,EranZahavi,Fenerbahce,ORTA,Taraftar,AZ,BZY
ORTA,ORTA,ORTA,HakanDede,SON,EranZahavi,Fenerbahce,ORTA,Gazeteci,ORTA,BY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,JoseSosa,Fenerbahce,ORTA,Gazeteci,ORTA,D
ORTA,ORTA,COKAZ,FenerEditor,SON,EdinsonCavani,Fenerbahce,YUKSEK,FanSayfasi,ORTA,BZY
ORTA,ORTA,ORTA,AhmetKonanc,ORTA,MalangSarr,Fenerbahce,COKYUKSEK,Gazeteci,ORTA,BY
COKAZ,COKAZ,COKAZ,SonerKan,SON,BerkayPolat,Kozanspor,BONSERVISYOK,Gazeteci,AZ,D
ORTA,ORTA,ORTA,Taraftar,ORTA,MalangSarr,kulupsuz,COKYUKSEK,Taraftar,AZ,BZY
COKAZ,COKAZ,AZ,HoloskoReyiz,BAS,ZeLuis,Besiktas,YUKSEK,FanSayfasi,AZ,BY
YUKSEK,ORTA,ORTA,AhmetKonanc,SON,NazimSangare,Fenerbahce,ORTA,Gazeteci,ORTA,D
